
2024/07/24	15:14::45	e5bb4504-fcfb-4bd5-8aab-277063676b1e	/new-page.html	GET
2024/07/24	15:14::45	8e46f2fd-0edd-48d0-8d79-87bac0fd3e8f	/css/style.css	GET
2024/07/24	15:14::45	b7be3dd1-5d06-4ec2-8b60-9def9df4537c	/img/img1.jpg	GET
2024/07/24	15:15::47	89dd038b-3355-46b5-b267-ea06b5fea344	/new-page.html	GET
2024/07/24	15:16::05	2184bc7a-b59d-4071-a14f-d1a3db653c52	/new-page.html	GET
2024/07/24	15:16::06	9fc5bc00-ed6a-4c83-a7ce-6ecba1396ac9	/css/style.css	GET
2024/07/24	15:16::06	8c25250a-2eeb-4957-aef4-b2d3379f3461	/img/img1.jpg	GET
2024/07/25	12:02::45	da8f72e1-3791-4e1a-b27f-54ce4cb2a888	GET	undefined	/new-page
2024/07/25	12:02::45	f50d1940-e692-4a5e-a0b6-f2661d849fae	GET	undefined	/css/style.css
2024/07/25	12:02::45	b22e383e-2921-4cfc-b176-1ea65fa2ed0b	GET	undefined	/img/img1.jpg
2024/07/25	12:06::29	59a33768-d6b6-4f13-8ca0-dc343caafd5c	GET	undefined	/new-page
2024/07/25	12:06::29	d95d2fef-00b3-4671-9336-9cfad258fb14	GET	undefined	/css/style.css
2024/07/25	12:06::29	ff3c4e76-a807-4709-aa48-e6dbdc0ccb70	GET	undefined	/img/img1.jpg
2024/07/25	12:10::43	2d6ee7b5-206a-447c-a6fb-41ecd4ab8d57	OPTIONS	https://www.google.com	/
2024/07/25	12:10::43	1e0101af-0023-4e3f-8e5e-e720be5ff58f	GET	https://www.google.com	/
2024/07/25	12:13::45	01f2eba2-a4ef-4cc9-93c1-f5dae60241e8	OPTIONS	https://www.google.com	/
2024/07/25	12:13::45	c226bc89-e502-42ea-bc92-c74b8fa256a7	GET	https://www.google.com	/
2024/07/25	12:21::08	b213142c-41fa-4178-9272-b5ac44d00c54	OPTIONS	https://www.google.com	/
2024/07/25	12:21::08	079a4f26-884c-485b-b895-ac493fea99b4	GET	https://www.google.com	/
2024/07/25	12:21::26	3656ae2a-7278-476b-a151-45e96da1e4c2	OPTIONS	https://www.google.com	/
2024/07/25	12:21::26	3ebfb1c3-4f53-410e-a22d-5ed36b420068	GET	https://www.google.com	/
2024/07/25	12:22::48	9f23f78e-a11f-4490-b033-3ebee3645eb1	OPTIONS	https://www.google.com	/
2024/07/25	12:22::48	74357eb4-f999-4505-a04a-9c5bfcb1d5d2	GET	https://www.google.com	/
2024/07/25	12:26::23	a0346bd4-3d2b-4d50-b6c8-6eaf84e15950	GET	undefined	/css/style.css
2024/07/25	12:26::23	0dce8972-8c9d-4752-8d75-2f8362456c6a	GET	undefined	/img/img1.jpg
